Entry ID,Jurisdiction,Intervention category,Intervention type,Description,Organization,Date
"CAN336","Canada","Case management","Self-isolation","Funded $731,810 to the Simcoe Muskoka District Health Unit to operate safe voluntary isolation sites in Barrie, Ont., and surrounding communities","Public Health Agency Canada","June 10, 2021"
"CAN357","Canada","Case management","Self-isolation","Announced funding for safe voluntary isolation sites in Ontario to help people who have COVID-19 access safe isolation accommodations","Public Health Agency of Canada","August 13, 2021"
"CAN395","Canada","Case management","Self-isolation","Announced funding for COVID-19 safe voluntary isolation sites in B.C.","Public Health Agency of Canada","November 26, 2021"
"CAN398","Canada","Case management","Treatment","Announced an agreement between Merck and Pfizer for access to their COVID-19 oral antiviral treatments","Public Services and Procurement Canada","December  3, 2021"
"CAN403","Canada","Case management","Self-isolation","Announced funding for COVID-19 safe voluntary isolation sites in Man.","Public Health Agency of Canada","December 30, 2021"
"CAN406","Canada","Case management","Treatment","Authorized the use of PAXLOVID for patients with mild to moderate COVID-19 at high risk of developing serious diseases","Health Canada","January 17, 2022"
"CAN408","Canada","Case management","Other","Introduced Bill C-10, to provide Health Canada with authority to purchase and distribute up to $2.5 billion worth of COVID-19 rapid tests","Health Canada","January 31, 2022"
"CAN424","Canada","Case management","Self-isolation","Funding announced for COVID-19 safe voluntary isolation sites in Yukon","Public Health Agency of Canada","February  3, 2022"
"CAN426","Canada","Case management","Self-isolation","Funding for the Safe Voluntary Isolation Sites Program will be extended until 2023-03","Public Health Agency of Canada","February 10, 2022"
"CAN433","Canada","Case management","Other","Funding announced for free of charge access to rapid tests for provinces, territories and Indigenous communities over next 3 months","Health Canada","March  4, 2022"
"CAN436","Canada","Case management","Self-isolation","Additional funding announced for safe voluntary isolation sites for temporary foreign agri-workers in Windsor-Essex","Public Health Agency of Canada","March 18, 2022"
"CAN437","Canada","Case management","Treatment","Use of Evusheld COVID-19 vaccine authorized for adults and children age 12 and older","Health Canada","April 14, 2022"
"NL012","Newfoundland and Labrador","Case management","Self-isolation","Guidance on self-isolation published","Department of Health and Community Services","March 18, 2020"
"NL051","Newfoundland and Labrador","Public information","Pandemic response plans","A Foundation for Living with COVID-19 5-stage plan for reopening the province released","Chief Medical Officer of Health","April 30, 2020"
"NL092","Newfoundland and Labrador","Public information","Phase and alert level changes","All regions entered Alert Level 4 of reopening plan","Department of Health and Community Services","May 11, 2020"
"NL093","Newfoundland and Labrador","Public information","Phase and alert level changes","All regions entered Alert Level 3 of reopening plan","Department of Health and Community Services","June  8, 2020"
"NL101","Newfoundland and Labrador","Public information","Phase and alert level changes","All regions entered Alert Level 2 of reopening plan","Department of Health and Community Services","June 25, 2020"
"NL129","Newfoundland and Labrador","Public information","Masks","Mask use mandated for indoor public spaces for those age 5 years and older","Department of Health and Community Services","August 24, 2020"
"NL131","Newfoundland and Labrador","Case management","Contact tracing","COVID Alert app launched in province","Premier, Department of Health and Community Services","September  3, 2020"
"NL140","Newfoundland and Labrador","Case management","Education","Guidance document including outbreak management, Newfoundland and LabradorPublic Health Guidance for K-12 Schools, released","Department of Education and Early Childhood Development","August 17, 2020"
"NL141","Newfoundland and Labrador","Public information","Phase and alert level changes","All regions entered Alert Level 5 (initial stage) of reopening plan","Chief Medical Officer of Health, Department of Health and Community Services","April 30, 2020"
"NL185","Newfoundland and Labrador","Public information","Phase and alert level changes","All regions entered Alert Level 5 of A Foundation for Living with COVID-19","Department of Health and Community Services","February 13, 2021"
"NL193","Newfoundland and Labrador","Case management","Other","Staff in LTC homes, personal care homes and assisted living facilities will work at 1 facility only, except in urgent situations","Department of Health and Community Services","February 13, 2021"
"NL198","Newfoundland and Labrador","Public information","Phase and alert level changes","All regions except Avalon region entered Alert Level 4 of A Foundation for Living with COVID-19","Department of Health and Community Services","February 27, 2021"
"NL205","Newfoundland and Labrador","Public information","Phase and alert level changes","All regions except Avalon region entered Alert Level 3 of A Foundation for Living with COVID-19","Department of Health and Community Services","March 13, 2021"
"NL206","Newfoundland and Labrador","Public information","Phase and alert level changes","Avalon region entered Alert Level 4 of A Foundation for Living with COVID-19","Department of Health and Community Services","March 13, 2021"
"NL228","Newfoundland and Labrador","Public information","Phase and alert level changes","Entire province entered Alert Level 2 of A Foundation for Living with COVID-19","Department of Health and Community Services","March 27, 2021"
"NL242","Newfoundland and Labrador","Public information","Phase and alert level changes","South Branch down to Port aux Basques entered Alert Level 4 of A Foundation for Living with COVID-19","Department of Health and Community Services","May 13, 2021"
"NL262","Newfoundland and Labrador","Public information","Phase and alert level changes","Lewisporte to Summerford area entered Alert Level 4 of A Foundation for Living with COVID-19","Department of Health and Community Services","May 22, 2021"
"NL265","Newfoundland and Labrador","Public information","Phase and alert level changes","All communities along the Trans-Canada Highway Route 1 from Gambo to Badger entered Alert Level 4 of A Foundation for Living with COVID-19","Department of Health and Community Services","May 24, 2021"
"NL280","Newfoundland and Labrador","Public information","Phase and alert level changes","Communities in the St. George’s, Stephenville, Port au Port area on the west side of the Trans-Canada Highway escalated to Alert Level 4","Department of Health and Community Services","May 30, 2021"
"NL285","Newfoundland and Labrador","Public information","Phase and alert level changes","Communities in the Lewisporte to Summerford area eased to Alert Level 3","Department of Health and Community Services","June  1, 2021"
"NL289","Newfoundland and Labrador","Public information","Phase and alert level changes","Communities along the Trans-Canada Highway Route 1 from Gambo to Badger eased to Alert Level 2","Department of Health and Community Services","June  1, 2021"
"NL294","Newfoundland and Labrador","Public information","Phase and alert level changes","Towns and communities along Route 403, which includes Flat Bay, St. Theresa’s and Journois, escalated to Alert Level 4","Department of Health and Community Services","June  1, 2021"
"NL299","Newfoundland and Labrador","Public information","Pandemic response plans","Details of the province's new phased reopening plan, Together. Again. released","Department of Health and Community Services","June  2, 2021"
"NL319","Newfoundland and Labrador","Public information","Phase and alert level changes","Communities in the Lewisporte to Summerford area eased to Alert Level 2; e.g., restaurants can open for in-person dining at 50% w/ distancing; details in scan","Department of Health and Community Services","June  8, 2021"
"NL323","Newfoundland and Labrador","Public information","Phase and alert level changes","Communities in the Western Health region eased to Alert Level 2","Department of Health and Community Services","June 12, 2021"
"NL329","Newfoundland and Labrador","Public information","Phase and alert level changes","Entered Step 1 of Together. Again., the province's reopening plan","Department of Health and Community Services","July  1, 2021"
"NL344","Newfoundland and Labrador","Public information","Phase and alert level changes","Entered Step 2 of Together. Again. reopening plan with eased restrictions","Department of Health and Community Services","August  1, 2021"
"NL350","Newfoundland and Labrador","Public information","Masks","Mask mandate lifted; masks no longer required indoors","Chief Medical Officer of Health, Premier","August 10, 2021"
"NL355","Newfoundland and Labrador","Public information","Phase and alert level changes","Towns and communities on the Northern Peninsula – East Region escalated to Alert Level 3","Department of Health and Community Services","September  8, 2021"
"NL361","Newfoundland and Labrador","Public information","Phase and alert level changes","Towns and communities in the Northern Peninsula – East Region returned to Alert Level 2","Department of Health and Community Services","September 21, 2021"
"NL365","Newfoundland and Labrador","Public information","Phase and alert level changes","Towns and communities along routes 410 to 419 on the Baie Verte Peninsula escalated to Alert Level 3","Department of Health and Community Services","September 22, 2021"
"NL369","Newfoundland and Labrador","Public information","Phase and alert level changes","Twillingate, New World Island & towns & communities accessed via Route 340 starting at & including Boyd’s Cove escalated to Alert Level 3","Department of Health and Community Services","September 25, 2021"
"NL388","Newfoundland and Labrador","Public information","Phase and alert level changes","Towns and communities along routes 410 to 419 on the Baie Verte Peninsula returned to Alert Level 2","Department of Health and Community Services","October  7, 2021"
"NL393","Newfoundland and Labrador","Public information","Phase and alert level changes","Twillingate, New World Island & towns/communities accessed via Route 340 starting at, and including, Boyd’s Cove returned to Alert Level 2","Department of Health and Community Services","October 12, 2021"
"NL398","Newfoundland and Labrador","Public information","Phase and alert level changes","Areas on the Burin Peninsula escalated to Alert Level 3","Department of Health and Community Services","October 23, 2021"
"NL405","Newfoundland and Labrador","Public information","Phase and alert level changes","Areas on the Burin Peninsula returned to Alert Level 2","Department of Health and Community Services","November  5, 2021"
"NL421","Newfoundland and Labrador","Case management","Self-isolation","Required anyone who has been identified as a close contact of a case and who is fully vaccinated to isolate for 7 days","Department of Health and Community Services","December 17, 2021"
"NL429","Newfoundland and Labrador","Public information","Phase and alert level changes","Communities of Badger, Gander, Grand Falls-Windsor and Twillingate moved to Alert Level 3","Department of Health and Community Services","December 20, 2021"
"NL439","Newfoundland and Labrador","Public information","Phase and alert level changes","All regions moved to Alert Level 3","Department of Health and Community Services","December 23, 2021"
"NL453","Newfoundland and Labrador","Case management","Contact tracing","Effective today, Public Health will no longer be issuing potential COVID-19 exposures on a regular basis","Government of Newfoundland and Labrador, Chief Medical Officer of Health","December 31, 2021"
"NL454","Newfoundland and Labrador","Public information","Phase and alert level changes","All regions moved to Alert Level 4","Government of Newfoundland and Labrador, Chief Medical Officer of Health","January  4, 2022"
"NL463","Newfoundland and Labrador","Case management","Self-isolation","Shorter isolation periods for people who have or are a close contact of someone with COVID-19; see scan for details","Department of Health and Community Services","January  8, 2022"
"NL468","Newfoundland and Labrador","Case management","Education","Asymptomatic, unvaccinated children who have contact with a case may return to school, must isolate for 10 days when not at school; see scan","Department of Health and Community Services","January 24, 2022"
"NL469","Newfoundland and Labrador","Case management","Self-isolation","Fully vaccinated, asymptomatic, non-household contact can proceed to work/school, must isolate 5 days when not working; see scan for details","Department of Health and Community Services","January 24, 2022"
"NL470","Newfoundland and Labrador","Case management","Self-isolation","Fully vaccinated essential workers can proceed to work immediately upon arrival in N.L, must isolate at all times when not working; see scan","Department of Health and Community Services","January 22, 2022"
"NL474","Newfoundland and Labrador","Case management","Education","Distribution of rapid tests to schools is already under way, and kits will be rolled out to families and staff; see scan for details","Department of Education","January 13, 2022"
"NL494","Newfoundland and Labrador","Public information","Phase and alert level changes","All of N.L. will enter a modified Alert Level 3","Government of Newfoundland and Labrador, Chief Medical Officer of Health","February  7, 2022"
"NL504","Newfoundland and Labrador","Public information","Phase and alert level changes","N.L. will enter a phased approach to lifting long-term public health restrictions","Government of Newfoundland and Labrador, Chief Medical Officer of Health","March 14, 2022"
"NL513","Newfoundland and Labrador","Case management","Self-isolation","New and/or shorter isolation periods are required for people who have or are a close contact of someone with COVID-19","Government of Newfoundland and Labrador, Chief Medical Officer of Health","February 25, 2022"
"NL519","Newfoundland and Labrador","Case management","Self-isolation","Fully vaccinated non-household contacts can follow modified self-isolation for 5 days after their last contact","Department of Health and Community Services","February  4, 2022"
"NL524","Newfoundland and Labrador","Case management","Treatment","Paxlovid access expanded for at-risk populations","Government of Newfoundland and Labrador","May 18, 2022"
"NL528","Newfoundland and Labrador","Public information","Masks","Masking requirement removed","Government of Newfoundland and Labrador","March 14, 2022"
