Max alert level,max contacts,Description,Date
2,20,"Communities in the Lewisporte to Summerford area eased to Alert Level 2; e.g., restaurants can open for in-person dining at 50% w/ distancing; details in scan",08-Jun-21
2,20,Communities in the Lewisporte to Summerford area in Alert Level 2: each household bubble can interact with 20 close contacts (steady 20); details in scan,08-Jun-21
,,Communities in the Western Health region eased to Alert Level 2,12-Jun-21
2,20,Communities in the Western Health region in Alert Level 2: each household bubble can interact with 20 close contacts (steady 20); details in scan,12-Jun-21
,,"Entered Step 1 of Together. Again., the province's reopening plan",01-Jul-21
2,200,"Eased rules under Step 1 (e.g., formal outdoor gatherings up to 250, indoor up to 200 or 75% capacity; outdoor personal gatherings up to 50); details in scan",01-Jul-21
,,"Eased rules under Step 1: workplaces to continue gradual return of in-person work, and small in-person meetings permitted",01-Jul-21
,,Entered Step 2 of Together. Again. reopening plan with eased restrictions,01-Aug-21
2,350,Entered Step 2 of the Together. Again.; formal indoor gatherings up to 350 people permitted (with distancing); see scan for details,01-Aug-21
,,Mask mandate lifted; masks no longer required indoors,10-Aug-21
,,Towns and communities on the Northern Peninsula – East Region escalated to Alert Level 3,08-Sep-21
3,20,Communities in the Northern Peninsula – East Region moved to Alert Level 3: permitted gatherings up to 20; informal gatherings limited to 10,08-Sep-21
,,Towns and communities in the Northern Peninsula – East Region returned to Alert Level 2,21-Sep-21
,,Communities in the Northern Peninsula – East Region moved to Alert Level 2: household/formal gathering limits increased; see scan for details,21-Sep-21
,,Towns and communities along routes 410 to 419 on the Baie Verte Peninsula escalated to Alert Level 3,22-Sep-21
3,20,"Communities in the Central Region under Alert Level 3, permitted gatherings up to 20; informal gatherings limited to 10",22-Sep-21
,,"Twillingate, New World Island & towns & communities accessed via Route 340 starting at & including Boyd’s Cove escalated to Alert Level 3",25-Sep-21
3,20,"Communities in the Central Region under Alert Level 3, permitted gatherings up to 20; informal gatherings limited to 10",25-Sep-21
,,Towns and communities along routes 410 to 419 on the Baie Verte Peninsula returned to Alert Level 2,07-Oct-21
2,20,Communities along rte. 410 to 419 on Baie Verte Peninsula moved to Alert Level 2: informal gatherings up to 20 allowed; see scan for details,07-Oct-21
,,"Due to Thanksgiving weekend, it is strongly recommended that any informal home gathering be limited to 20 people for the next 2 weeks",07-Oct-21
,,"Twillingate, New World Island & towns/communities accessed via Route 340 starting at, and including, Boyd’s Cove returned to Alert Level 2",12-Oct-21
2,20,Communities in the Central Region moved to Alert Level 2: informal gatherings permitted up to 20; see scan for details,12-Oct-21
,,Areas on the Burin Peninsula escalated to Alert Level 3,23-Oct-21
3,20,"Areas on the Burin Peninsula under Alert Level 3: gatherings limited to 20, informal gatherings limited to 10; see scan for details",23-Oct-21
,,Areas on the Burin Peninsula returned to Alert Level 2,05-Nov-21
2,20,Areas on the Burin Peninsula moved to Alert Level 2: informal gatherings permitted up to 20; see scan for details,05-Nov-21
,,"Capacity limits increased for formal gatherings (e.g., weddings, funerals) where proof of vaccination is required; see scan for details",13-Nov-21
,,"Reduced capacity at weddings, funerals, religious/cultural ceremonies: 50% venue capacity with NLVaxPass, 25% without NLVaxPass",20-Dec-21
,,Employees encouraged to work from home where possible,20-Dec-21
,,"Communities of Badger, Gander, Grand Falls-Windsor and Twillingate moved to Alert Level 3",20-Dec-21
3,20,Communities in the Central region under Alert Level 3: limited informal gatherings to Steady 20; prohibited wakes; see scan for details,20-Dec-21
